member_id,balance,apple,banana,orange,ice cream,vodka
117431457202438148,9999.0,26,0,0,0,1
666454811884912640,325.0,0,0,0,0,0
114103955767689219,inf,100,1000,9865,30,20
819444147294961684,9000.0,0,0,0,0,0
125079768575115265,9010.0,0,0,0,0,0
